,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
4220,9784591137222,287,魔法屋ポプル　呪われたプリンセス,魔法屋ポプル　,,魔法屋ポプル　呪われたプリンセス,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
3516,9784591107515,287,魔法屋ポプル　プリンセスには危険なキャンディ,魔法屋ポプル　,,魔法屋ポプルプリンセスには危険なキャンディ,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
4549,9784591120804,288,魔法屋ポプル　あぶない使い魔と仮面の謎,魔法屋ポプル　ド,,魔法屋ポプル　あぶない使い魔と仮面の謎,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
3895,9784591118030,288,魔法屋ポプル　ママの魔方陣とヒミツの記憶,魔法屋ポプル　ド,,魔法屋ポプル　ママの魔方陣とヒミツの記憶,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
4061,9784591112311,288,魔法屋ポプル　友情は魔法に勝つ！！,魔法屋ポプル　ド,,魔法屋ポプル　友情は魔法に勝つ！！,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
4159,9784591126899,288,魔法屋ポプル　悪魔のダイエット！？,魔法屋ポプル　ド,,魔法屋ポプル　悪魔のダイエット！？,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
4238,9784591134528,288,魔法屋ポプル　さらわれた友,魔法屋ポプル　ド,,魔法屋ポプル　さらわれた友,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
4523,9784591130674,288,魔法屋ポプル　時の魔女のダンスパーティー,魔法屋ポプル　ド,,魔法屋ポプル　時の魔女のダンスパーティー,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
3894,9784591139912,288,魔法屋ポプル　のこされた手紙と闇の迷宮,魔法屋ポプル　ド,,魔法屋ポプル　のこされた手紙と闇の迷宮,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
4006,9784591125410,288,魔法屋ポプル　お菓子の館とチョコレートの魔法,魔法屋ポプル　ド,,魔法屋ポプル　お菓子の館とチョコレートの魔法,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
4166,9784591135785,288,魔法屋ポプル　大魔王からのプロポーズ,魔法屋ポプル　ド,,魔法屋ポプル　大魔王からのプロポーズ,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
3550,9784591104651,288,魔法屋ポプル　「トラブル、売ります」,魔法屋ポプル　ド,,魔法屋ポプル「トラブル、売ります」,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
4372,9784591132029,288,魔法屋ポプル　ステキな夢のあまいワナ,魔法屋ポプル　ド,,魔法屋ポプル　ステキな夢のあまいワナ,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
4393,9784591123898,288,魔法屋ポプル　ドラゴン島のウエディング大作戦！！,魔法屋ポプル　ド,,魔法屋ポプル　ドラゴン島のウエディング大作戦！！,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
3647,9784591109960,288,魔法屋ポプル　砂漠にねむる黄金宮,魔法屋ポプル　ド,,魔法屋ポプル　砂漠にねむる黄金宮,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
4448,9784591129340,288,魔法屋ポプル　ドキドキ魔界への旅,魔法屋ポプル　ド,,魔法屋ポプル　ドキドキ魔界への旅,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,堀口勇太,ポプラポケット文庫
670,9784092314047,289,リアル鬼ごっこ　セブンルールズ,リアル鬼ごっこ　,,リアル鬼ごっこ　セブンルールズ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,江坂純,小学館ジュニア文庫
684,9784092307629,289,リアル鬼ごっこ,リアル鬼ごっこ　,,リアル鬼ごっこ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,山田悠介,小学館ジュニア文庫
459,9784092313804,289,リアル鬼ごっこ　リプレイ,リアル鬼ごっこ　,,リアル鬼ごっこ　リプレイ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,江坂純,小学館ジュニア文庫
427,9784813780045,290,リアルゲーム　全員死ぬまで終わらない,リアルゲーム　,１,リアルゲーム,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,西羽咲花月,野いちごジュニア文庫
3638,9784061487284,290,リズム,リアルゲーム　,,リズム,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,森絵都,講談社青い鳥文庫
748,9784813780106,290,リアルゲーム　最後に生き残るのは誰？,リアルゲーム　,２,リアルゲーム,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,西羽咲花月,野いちごジュニア文庫
1415,9784083216268,291,悪魔のパズル　絶体絶命！？ねらわれた球技大会,悪魔のパズル　,,悪魔のパズル　絶体絶命！？ねらわれた球技大会,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,天川栄人,集英社みらい文庫
1050,9784083215988,291,悪魔のパズル　なぞのカバンと黒い相棒,悪魔のパズル　,,悪魔のパズル　なぞのカバンと黒い相棒,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,天川栄人,集英社みらい文庫
3910,9784046312198,292,パズル　４８時間戦争,,,パズル　４８時間戦争,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,山田悠介,角川つばさ文庫
2926,9784083214172,293,プリンシパル～恋する私はヒロインですか？～　映画ノベライズ＜みらい文庫版＞,プリンシパル～,,プリンシパル～恋する私はヒロインですか？～　映画ノベライズ＜みらい文庫版＞,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,百瀬しのぶ,集英社みらい文庫
3971,9784083214189,293,プリンシパル～弦の気持ち、ときどきすみれ～　まんがノベライズ特別編,プリンシパル～,,プリンシパル～弦の気持ち、ときどきすみれ～　まんがノベライズ特別編,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,百瀬しのぶ,集英社みらい文庫
4283,9784092895751,294,プリ・パラ　み～んなトモダチ！！み～んなアイドル！！,パラ　み～んな,,プリパラ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,福田裕子,ちゃおノベルズ
4460,9784092308657,294,映画・プリパラ　み～んなのあこがれ♪レッツゴー☆プリパリ,パラ　み～んな,,映画・プリパラ　み～んなのあこがれ♪レッツゴー☆プリパリ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,筆安一幸,小学館ジュニア文庫
4375,9784092895805,295,プリパラ　ガァルマゲドン外伝～怪獣アイドル　ガァルル登場ガァル～,,,プリパラ　ガァルマゲドン外伝～怪獣アイドル　ガァルル登場ガァル～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,桑原美保,ちゃおノベルズ
3918,9784863895577,296,橋の下の怪物　ルイスと不思議の時計８,の幽霊　ルイスと不思議の時計,,橋の下の怪物　ルイスと不思議の時計８,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョン・ベレアーズ,静山社ペガサス文庫
3979,9784863895454,296,魔法博物館の謎　ルイスと不思議の時計７,の幽霊　ルイスと不思議の時計,,魔法博物館の謎　ルイスと不思議の時計７,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョン・ベレアーズ,静山社ペガサス文庫
4313,9784863894990,296,鏡のなかの幽霊　ルイスと不思議の時計４,の幽霊　ルイスと不思議の時計,,鏡のなかの幽霊　ルイスと不思議の時計４,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョン・ベレアーズ,静山社ペガサス文庫
3917,9784863894686,296,魔法の指輪　ルイスと不思議の時計３,の幽霊　ルイスと不思議の時計,,魔法の指輪　ルイスと不思議の時計３,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョン・ベレアーズ,静山社ペガサス文庫
3499,9784863894679,296,闇にひそむ影　ルイスと不思議の時計２,の幽霊　ルイスと不思議の時計,,闇にひそむ影　ルイスと不思議の時計２,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョン・ベレアーズ,静山社ペガサス文庫
4080,9784863895355,296,魔女狩り人の復讐　ルイスと不思議の時計５,の幽霊　ルイスと不思議の時計,,魔女狩り人の復讐　ルイスと不思議の時計５,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョン・ベレアーズ,静山社ペガサス文庫
2545,9784863894594,296,ルイスと不思議の時計　ルイスと不思議の時計１,の幽霊　ルイスと不思議の時計,,ルイスと不思議の時計,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョン・ベレアーズ,静山社ペガサス文庫
3720,9784863895423,296,オペラ座の幽霊　ルイスと不思議の時計６,の幽霊　ルイスと不思議の時計,,オペラ座の幽霊　ルイスと不思議の時計６,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,ジョン・ベレアーズ,静山社ペガサス文庫
2001,9784092313897,297,レベル１で異世界召喚されたオレだけど、なぜか新米魔王やってます。,レベル１で異世界召喚されたオレだけど、,,レベル１で異世界召喚されたオレだけど、なぜか新米魔王やってます。,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫
1377,9784092313392,297,レベル１で異世界召喚されたオレだけど、攻略本は読みこんでます。,レベル１で異世界召喚されたオレだけど、,,レベル１で異世界召喚されたオレだけど、攻略本は読みこんでます。,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫
3210,9784001145076,298,聊斎志異,,,聊斎志異,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,蒲松齢,岩波少年文庫
3392,9784001141580,299,マルコヴァルドさんの四季,さんの,,マルコヴァルドさんの四季,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,イタロ・カルヴィーノ,岩波少年文庫
3613,9784001142051,299,ピッグル・ウィッグルおばさんの農場,さんの,,ピッグル・ウィッグルおばさんの農場,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ベティ・マクドナルド,岩波少年文庫
4677,9784035509301,300,ヒルベルという子がいた,ヒ,,ヒルベルという子がいた,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ペーター・ヘルトリング,偕成社文庫
1514,9784092313378,300,ヒノマルソウル　舞台裏の英雄たち,ヒ,,ヒノマルソウル　舞台裏の英雄たち,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,涌井学,小学館ジュニア文庫
