,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM,SERIESNM_shoshi,SERIESNM_sikiriban,SERIESNM_sosho,SERIESNM_sublabel,seriesnm_candidate_shoshi,seriesnm_candidate_sikiriban,seriesnm_candidate_sosho,seriesnm_candidate_sublabel
433,9784087901092,鬼滅の刃　キメツ学園！　全集中ドリル　音の呼吸編,,1076,16,71,1,8,書籍,児童書,学習百科,学習百科,その他教科,吾峠呼世晴,8,集英社,43400631,鬼滅の刃　キメツ学園！　全集中ドリル　音の呼吸編,,20230317,2933,鬼滅の刃 キメツ学園！全集中ドリル,,,,,,鬼滅の刃　ノベライズ,,,鬼滅の刃　ノベライズ
434,9784074535231,ＢＴ２１　まちがいをさがせ！,,1076,16,7,4,1,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,ＬＩＮＥＦｒｉｅｎｄｓＪａｐａｎ,7,主婦の友社,43384708,ＢＴ２１　まちがいをさがせ！,,20221212,2046,,,,,,,,子どもりょうり絵本,,
435,9784865315219,速読英単語　上級編［改訂第５版］,,1076,19,31,51,41,書籍,学習参考書,高校学参,予備校,Ｚ会,風早寛,86531,Ｚ会,43400699,速読英単語　上級編［改訂第５版］,,20230306,1516,,,,,,,,,,
436,9784083217630,ふたごの恋の事情　夏休みのキセキ！　旅行先は矢島兄弟といっしょ！？,,1076,16,55,1,18,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,一ノ瀬三葉,8,集英社,43386786,ふたごの恋の事情　夏休みのキセキ！　旅行先は矢島兄弟といっしょ！？,集英社みらい文庫,20230127,1410,,,,,,,花とつぼみと、きみのこと。,通学シリーズ みらい文庫版,通学シリーズ みらい文庫版,
437,9784065311028,プリキュアオールスターズ　ひろがるスカイ！プリキュア　キラキラシールブック,,1076,16,35,1,11,書籍,児童書,絵本塔,絵本塔,講談社,ｍｉｏ,6,講談社,43401217,プリキュアオールスターズ　ひろがるスカイ！プリキュア　キラキラシールブック,こうだんしやむつく,20230315,1886,,,プリキュア,,,,講談社おともだちシールブック,講談社アニメ絵本,泣いちゃいそうだよ高校生編,
438,9784087901009,おしりダンディ　ザ・ヤング　きょうりゅうのしま,,1076,16,41,5,7,書籍,児童書,読み物,読み物,おしりたんていシリーズ,トロル,8,集英社,43375621,おしりダンディ　ザ・ヤング　きょうりゅうのしま,おしりダンディ　アドベンチャー,20221125,5389,おしりダンディ アドベンチャー,,,,,,おしりダンディアドベンチャー,満点ゲットシリーズ　せいかつプラス,おしりダンディアドベンチャー,おしりダンディアドベンチャー
439,9784097251842,そらまめくんの　いっしょに　あそぼ,,1076,16,11,2,1,書籍,児童書,幼児絵本,ファーストブック,ファーストブック,なかやみわ,9,小学館,43396164,そらまめくんの　いっしょに　あそぼ,,20230306,2079,,,,,,,そらまめくんの知育ドリル,ドラえもんファーストブック,,
440,9784065302651,ディズニープリンセス　ひらがな・カタカナカード　たっぷりあそべる,,1076,16,91,1,3,書籍,児童書,グッズ,グッズ,知育カード,講談社,6,講談社,43384332,ディズニープリンセス　ひらがな・カタカナカード　たっぷりあそべる,［バラエティ］,20230126,1150,,,ディズニープリンセス,,,,ディズニープリンセスビギナーズ,カードキャプターさくら,ティガ・ダイナ＆ウルトラマンガイア,
441,9784083217494,絶叫学級　パーティーのいけにえ　編,,1076,16,55,1,18,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,いしかわえみ,8,集英社,43366740,絶叫学級　パーティーのいけにえ　編,集英社みらい文庫,20221028,3736,絶叫学級,,絶叫学級,,,絶叫学級,絶叫学級,通学シリーズ みらい文庫版,通学シリーズ みらい文庫版,絶叫学級
442,9784046321930,神スキル！！！　キセキの三きょうだい、登場！,,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,大空なつき,4,ＫＡＤＯＫＡＷＡ,43383100,神スキル！！！　キセキの三きょうだい、登場！,角川つばさ文庫,20230112,3365,,,,,,,ぜったいバレちゃいけません！！！,角川まんが学習シリーズ,角川まんが学習シリーズ,
