,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SERIESNM,seriesnm_candidate
48,9784265074877,にじいろフェアリーしずくちゃん　７つのストーンのひみつ,７,1076,16,41,5,5,書籍,児童書,読み物,読み物,低学年読み物,友永コリエ,265,岩崎書店,43064309.0,にじいろフェアリーしずくちゃん,,20221213,2521,,
49,9784299033833,まいぜんシスターズのまちがいさがしＢＯＯＫ,,1076,16,7,4,1,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,まいぜんシスターズ,299,宝島社,43373394.0,まいぜんシスターズのまちがいさがしＢＯＯＫ,,20221025,8332,,
50,9784065293423,ディズニーガールズと　いっしょに　おふろで　あいうえお　アルファベットひょうつき,,1076,16,91,1,4,書籍,児童書,グッズ,グッズ,ウォールチャート,講談社,6,講談社,43362345.0,ディズニーガールズと　いっしょに　おふろで　あいうえお　アルファベットひょうつき,,20221018,1207,,ディズニー
51,9784405073623,図解大事典　ドラゴン,,1076,16,61,1,91,書籍,児童書,実用百科,実用百科,その他実用百科,龍・ドラゴン研究チームＴ＆Ｈ,405,新星出版社,43370151.0,図解大事典　ドラゴン,,20221215,1378,,
52,9784065300992,全ウルトラマン　パーフェクト大図鑑　増補改訂,,1076,16,35,1,11,書籍,児童書,絵本塔,絵本塔,講談社,講談社,6,講談社,43385230.0,全ウルトラマン　パーフェクト大図鑑　増補改訂,講談社ＭＯＯＫ　テレビマガジンＭＯＯＫ,20221215,2052,講談社ＭＯＯＫ　テレビマガジンＭＯＯＫ,
53,9784046321862,恐怖コレクター　宿命の再会,２０,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,佐東みどり,4,ＫＡＤＯＫＡＷＡ,42675589.0,恐怖コレクター,角川つばさ文庫,20221214,3311,,
54,9784041122914,どっちが強い！？　ピットブルｖｓオオヤマネコ　豪華客船でイヌネコ対決,,1076,16,71,5,31,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,ジノ,4,ＫＡＤＯＫＡＷＡ,43377192.0,どっちが強い！？　ピットブルｖｓオオヤマネコ　豪華客船でイヌネコ対決,角川まんが学習シリーズ,20221214,8827,どっちが強い！？シリーズ,
55,9784046321756,時間割男子　ヒミツにせまる動物園！,１０,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,一ノ瀬三葉,4,ＫＡＤＯＫＡＷＡ,43100036.0,時間割男子,角川つばさ文庫,20221214,6937,,
56,9784046321824,星のカービィ　まんぷく、まんまる、グルメフェス！,,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,高瀬美恵,4,ＫＡＤＯＫＡＷＡ,43345582.0,星のカービィ　ディスカバリー,角川つばさ文庫,20221214,16780,,
57,9784046321923,世界一クラブ　スター・ダイヤを取りもどせ！,,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,大空なつき,4,ＫＡＤＯＫＡＷＡ,43377084.0,世界一クラブ　スター・ダイヤを取りもどせ！,角川つばさ文庫,20221214,2854,,
