,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
102,9784046321091,215,世界一クラブ　無人島でサバイバル・キャンプ！？,世界一クラブ　,,世界一クラブ　無人島でサバイバル・キャンプ！？,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
73,9784046320032,215,世界一クラブ　ハワイ旅行は大さわぎ！,世界一クラブ　,,世界一クラブ　ハワイ旅行は大さわぎ！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
116,9784046318169,215,世界一クラブ　宿泊体験はサプライズ！？,世界一クラブ　,,世界一クラブ　宿泊体験はサプライズ！？,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
127,9784046318985,216,世界一クラブ　デートもテストも大ピンチ！？,世界一クラブ　,,世界一クラブ　デートもテストも大ピンチ！？,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
134,9784046318640,216,世界一クラブ　キケンだらけの特別ステージ,世界一クラブ　,,世界一クラブ　キケンだらけの特別ステージ,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
136,9784046321466,216,世界一クラブ　世界一の大運動会！,世界一クラブ　,,世界一クラブ　世界一の大運動会！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
111,9784046317865,216,世界一クラブ　伝説の男と大勝負！？,世界一クラブ　,,世界一クラブ　伝説の男と大勝負！？,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
104,9784046317414,216,世界一クラブ　テレビ取材で大スクープ！,世界一クラブ　,,世界一クラブ　テレビ取材で大スクープ！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
119,9784046319258,216,世界一クラブ　１００％フラれる大告白！？,世界一クラブ　,,世界一クラブ　１００％フラれる大告白！？,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
76,9784046317407,216,世界一クラブ　最強の小学生、あつまる！,世界一クラブ　,,世界一クラブ　最強の小学生、あつまる！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
69,9784046320049,216,世界一クラブ　ねらわれたクリスを救え！,世界一クラブ　,,世界一クラブ　ねらわれたクリスを救え！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
89,9784046321084,216,世界一クラブ　お祭りさわぎの花火大会！,世界一クラブ　,,世界一クラブ　お祭りさわぎの花火大会！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
83,9784046320766,216,世界一クラブ　あぶない！？すみれの世界大会,世界一クラブ　,,世界一クラブ　あぶない！？すみれの世界大会,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,大空なつき,角川つばさ文庫
497,9784046320162,217,ウラオモテ世界！　魔王城攻略と魔族ラズワット,ウラオモテ世界！　,３,ウラオモテ世界！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,雨蛙ミドリ,角川つばさ文庫
480,9784046319357,217,ウラオモテ世界！　とつぜんの除霊×ゲームバトル,ウラオモテ世界！　,,ウラオモテ世界！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,雨蛙ミドリ,角川つばさ文庫
488,9784046319739,217,ウラオモテ世界！　悪霊組織アクレムとワライオニ,ウラオモテ世界！　,２,ウラオモテ世界！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,雨蛙ミドリ,角川つばさ文庫
588,9784046317780,218,エジソン　世界を照らした発明王,世界を,１,エジソン　世界を照らした発明王,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,田部智子,角川つばさ文庫
849,9784046314819,218,モナミは世界を終わらせる？,世界を,,モナミは世界を終わらせる？,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,はやみねかおる,角川つばさ文庫
232,9784046317070,219,ロウソクの科学　世界一の先生が教える超おもしろい理科,　世界,,ロウソクの科学　世界一の先生が教える超おもしろい理科,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,平野累次,角川つばさ文庫
569,9784046318244,219,ビックリ！！　世界の小学生,　世界,,ビックリ！！　世界の小学生,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,柳沢有紀夫,角川つばさ文庫
864,9784046313904,220,チホと魔法と不思議な世界　ようこそ、魔法学園へ！,,,チホと魔法と不思議な世界　ようこそ、魔法学園へ！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,マサト真希,角川つばさ文庫
183,9784046319548,221,一年間だけ。　ずっとキミのそばにいたのに,一年間だけ。　キミの,３,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
170,9784046320599,221,一年間だけ。　キミへと、想いが走りだす…,一年間だけ。　キミの,７,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
211,9784046320605,221,一年間だけ。　キミの笑顔を、いちばん近くで,一年間だけ。　キミの,８,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
153,9784046320582,221,一年間だけ。　キミをだれにもゆずれない！,一年間だけ。　キミの,６,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
179,9784046319890,221,一年間だけ。　キミの気持ちが知りたくて,一年間だけ。　キミの,４,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
128,9784046319906,221,一年間だけ。　いつもキミを見ていた,一年間だけ。　キミの,５,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
349,9784046321275,221,一年間だけ。　キミ一人が、トクベツで…,一年間だけ。　キミの,１０,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
291,9784046321268,222,一年間だけ。　心の扉をひらくのは、キミ？,一年間だけ。　,９,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
160,9784046319227,222,一年間だけ。　会えない時間－とき－もキミを,一年間だけ。　,２,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
132,9784046318725,222,一年間だけ。　さくらの季節にであうキミ,一年間だけ。　,１,一年間だけ。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,安芸咲良,角川つばさ文庫
628,9784046319005,223,貞子,子,,貞子,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,山室有紀子,角川つばさ文庫
343,9784046319654,223,枕草子　平安女子のキラキラノート,子,,枕草子　平安女子のキラキラノート,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,清少納言,角川つばさ文庫
32,9784046320476,224,時間割男子　新男子登場、英語くん！？,時間割男子　,６,時間割男子,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,一ノ瀬三葉,角川つばさ文庫
23,9784046319340,224,時間割男子　消えないで、カンジくん！,時間割男子　,２,時間割男子,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,一ノ瀬三葉,角川つばさ文庫
