JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SERIESNM
9784592107170,ノラネコぐんだん大図鑑　１０周年限定特典付き,,1076,16,0007,0001,0201,書籍,児童書,絵本,国内絵本,ノラネコぐんだん,工藤ノリコ,0000592,白泉社,43368273,ノラネコぐんだん大図鑑　１０周年限定特典付き,［バラエティ］,20221118,4094,
9784533151545,るるぶマンガとクイズで楽しく学ぶ！日本の歴史人物伝,,1076,16,0071,0005,0001,書籍,児童書,学習百科,学習漫画,日本の歴史,伊藤賀一,0000533,ＪＴＢ,43370158,るるぶマンガとクイズで楽しく学ぶ！日本の歴史人物伝,,20221115,1294,
9784330059228,トミカ　はじめてのひらがなキューブ,,1076,16,0091,0001,0001,書籍,児童書,グッズ,グッズ,知育玩具,,0000330,交通新聞社,43371216,トミカ　はじめてのひらがなキューブ,［バラエティ］,20221128,1031,
9784083217487,迷宮教室　裏切りの「友達処刑ゲーム」,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,あいはらしゅう,0000008,集英社,43366739,迷宮教室　裏切りの「友達処刑ゲーム」,集英社みらい文庫,20221028,1435,
9784097353508,めくってあそぼう！しかけえほん　シナぷしゅ,,1076,16,0021,0001,0051,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,,0000009,小学館,43379300,めくってあそぼう！しかけえほん　シナぷしゅ,,20221121,1384,
9784083217470,絶対好きにならない同盟　～歌姫はラブソングが超ニガテ！～,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,夜野せせり,0000008,集英社,43366738,絶対好きにならない同盟　～歌姫はラブソングが超ニガテ！～,集英社みらい文庫,20221028,1546,
9784083217463,相方なんかになりません！　転校生はなにわのお笑い男子！？,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,遠山彼方,0000008,集英社,43366737,相方なんかになりません！　転校生はなにわのお笑い男子！？,集英社みらい文庫,20221028,1230,
9784083217494,絶叫学級　パーティーのいけにえ　編,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,いしかわえみ,0000008,集英社,43366740,絶叫学級　パーティーのいけにえ　編,集英社みらい文庫,20221028,2939,
9784791631902,ミラクルきょうふ！　意味がわかると怖いストーリー,,1076,16,0041,0005,0041,書籍,児童書,読み物,読み物,おばけ・こわい話,朔月糸,0007916,西東社,43369786,ミラクルきょうふ！　意味がわかると怖いストーリー,,20221107,2900,
9784813780748,総長さま、溺愛中につき。　最強イケメンの溺愛バトルは再加速！？,７,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,＊あいら＊,0008137,スターツ出版,43205111,総長さま、溺愛中につき。,野いちごジュニア文庫,20221220,9229,
9784813780717,となりの一条三兄弟！,３,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,永良サチ,0008137,スターツ出版,43313007,となりの一条三兄弟！,野いちごジュニア文庫,20221118,1247,
9784083217654,渚くんをお兄ちゃんとは呼ばない　～これからも大好き～,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,夜野せせり,0000008,集英社,43386788,渚くんをお兄ちゃんとは呼ばない　～これからも大好き～,渚くんをお兄ちゃんとは呼ばない,20230127,2096,
9784083217678,逃走中　オリジナルストーリー　暗闇からハンター！？　夜の遊園地で恐怖に立ちむかえ！,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,逃走中,0000008,集英社,43386790,逃走中　オリジナルストーリー　暗闇からハンター！？　夜の遊園地で恐怖に立ちむかえ！,逃走中　オリジナルストーリー,20230127,2799,
9784774738642,メイクアップぬりえ　キュートポップコレクション,,1076,16,0015,0001,0041,書籍,児童書,しかけ絵本,しかけ絵本,ぬりえ,,0007747,コスミック出版,43380025,メイクアップぬりえ　キュートポップコレクション,［バラエティ］,20221128,3637,
9784813780670,放課後★七不思議！　イケメンたちが優結を救う！？涙と笑顔のハッピーエンド,,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,永良サチ,0008137,スターツ出版,43365496,放課後★七不思議！　イケメンたちが優結を救う！？涙と笑顔のハッピーエンド,野いちごジュニア文庫,20221020,1184,
9784813780687,告白したのは、君だから。　かんちがいから始まるホントの恋,,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,神戸遥真,0008137,スターツ出版,43365497,告白したのは、君だから。　かんちがいから始まるホントの恋,野いちごジュニア文庫,20221020,1540,
9784813780694,願いごとガチャ　願いをかなえるアイテム当たります,,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,Ｓｙｔｒｙ,0008137,スターツ出版,43365498,願いごとガチャ　願いをかなえるアイテム当たります,野いちごジュニア文庫,20221020,1312,
9784087901009,おしりダンディ　ザ・ヤング　きょうりゅうのしま,,1076,16,0041,0005,0007,書籍,児童書,読み物,読み物,おしりたんていシリーズ,トロル,0000008,集英社,43375621,おしりダンディ　ザ・ヤング　きょうりゅうのしま,おしりダンディ　アドベンチャー,20221125,4060,
9784083217500,二条くんはわたしの執事　ダンスパーティーで運命の告白！？,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,小桜すず,0000008,集英社,43375617,二条くんはわたしの執事　ダンスパーティーで運命の告白！？,集英社みらい文庫,20221125,1052,
9784083217524,生き残りゲーム　ラストサバイバル　かせぐが勝ちの学園生活！　サバイバルポイント,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,大久保開,0000008,集英社,43375619,生き残りゲーム　ラストサバイバル　かせぐが勝ちの学園生活！　サバイバルポイント,集英社みらい文庫,20221125,1380,
9784083217531,鬼滅の刃　ノベライズ　～カナヲと無一郎！　命をかけた闘い編～,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,吾峠呼世晴,0000008,集英社,43375620,鬼滅の刃　ノベライズ　～カナヲと無一郎！　命をかけた闘い編～,集英社みらい文庫,20221125,7309,
9784083217517,霧島くんは普通じゃない　～ヴァンパイア三兄弟と同居！？　ドキドキの新学期～,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,麻井深雪,0000008,集英社,43375618,霧島くんは普通じゃない　～ヴァンパイア三兄弟と同居！？　ドキドキの新学期～,集英社みらい文庫,20221125,9626,
9784494003808,みかんくんがね・・,,1076,16,0011,0003,0005,書籍,児童書,幼児絵本,知育絵本,たべもの絵本,とよたかずひこ,0000494,童心社,43365481,みかんくんがね・・,おいしいともだち,20221014,1470,おいしいともだち
9784083217593,戦国姫　徳川家康と運命の姫君たち　於大の方、瀬名姫ほか,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,藤咲あゆな,0000008,集英社,43382710,戦国姫　徳川家康と運命の姫君たち　於大の方、瀬名姫ほか,集英社みらい文庫,20221216,1838,
9784083217609,アイ・アム・冒険少年　脱出島　オリジナルストーリー　友情でミッションを乗り越えろ！,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,アイ・アム・冒険少年,0000008,集英社,43382711,アイ・アム・冒険少年　脱出島　オリジナルストーリー　友情でミッションを乗り越えろ！,集英社みらい文庫,20221216,1110,
9784522803356,サイレンカー　だいずかん　６５ピース,,1076,16,0091,0001,0013,書籍,児童書,グッズ,グッズ,ジグソーパズル,松島浩一郎,0000522,永岡書店,43365873,サイレンカー　だいずかん　６５ピース,頭のいい子を育むジグソー知育パズル,20221011,1198,
