JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM
9784575317619,先生は教えてくれない！クレヨンしんちゃんの折れない心をつくる本,,1076,16,0071,0005,0091,書籍,児童書,学習百科,学習漫画,その他学習漫画,臼井儀人,0000575,双葉社,43366747,先生は教えてくれない！クレヨンしんちゃんの折れない心をつくる本,,20221117,2054,,
9784410105883,チャート式基礎からの数学２＋Ｂ　新課程,,1076,19,0031,0011,0011,書籍,学習参考書,高校学参,数学,数学Ⅱ・Ｂ,チャート研究所,0000410,数研出版,43371514,チャート式基礎からの数学２＋Ｂ　新課程,,20221025,2595,,
9784046321657,君のとなりで。　この道を、ずっといっしょに,９,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,高杉六花,0000004,ＫＡＤＯＫＡＷＡ,43090241,君のとなりで。,角川つばさ文庫,20221013,2147,,
9784299036124,ドラゴン超絶バトル大図鑑,,1076,16,0061,0001,0091,書籍,児童書,実用百科,実用百科,その他実用百科,村上健司,0000299,宝島社,43373399,ドラゴン超絶バトル大図鑑,,20221024,1105,,
9784863463417,２０２３年中学入試用サピックス重大ニュース　中学入試に出る　２０２２ニュース解説（小学５・６年,,1076,19,0011,0061,0003,書籍,学習参考書,小学学参,中学入試,重大ニュース,進学教室サピックス小学部,0086346,代々木ライブラリー,43368312,２０２３年中学入試用サピックス重大ニュース　中学入試に出る　２０２２ニュース解説（小学５・６年,,20221101,2643,,
9784591175514,おかあさんといっしょ　おうたで　わーい！,,1076,16,0015,0001,0001,書籍,児童書,しかけ絵本,しかけ絵本,音のでる絵本,ｍｉｏ,0000591,ポプラ社,43380292,おかあさんといっしょ　おうたで　わーい！,,20221209,4774,単行本,
9784834767544,わくわく楽しい！日本＆世界の旅行すごろく,,1076,16,0091,0001,0006,書籍,児童書,グッズ,グッズ,すごろく,ｍｉｏ,0008347,ブティック社,43375238,わくわく楽しい！日本＆世界の旅行すごろく,［バラエティ］,20221220,1061,,
9784284001205,いちねんせいえほん　はじめての「よのなかルールブック」,,1076,16,0011,0003,0001,書籍,児童書,幼児絵本,知育絵本,知育絵本,高濱正伸,0000284,日本図書センター,43383708,いちねんせいえほん　はじめての「よのなかルールブック」,,20230118,4953,,
9784046322210,おもしろい話、集めました。Ｗ,,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,ひのひまり,0000004,ＫＡＤＯＫＡＷＡ,43383192,おもしろい話、集めました。Ｗ,角川つばさ文庫,20230112,1800,,
9784342353697,重要古文単語３１５　読んで見て聞いて覚える　四訂版,,1076,19,0031,0015,0031,書籍,学習参考書,高校学参,国語,古文・古典,武田博幸,0000342,桐原書店,43370958,重要古文単語３１５　読んで見て聞いて覚える　四訂版,,20221014,2377,,
9784065302576,超復刻版　タローマンかるた,,1076,16,0091,0001,0005,書籍,児童書,グッズ,グッズ,かるた,ＮＨＫ「ＴＡＲＯＭＡＮ」制作班,0000006,講談社,43370941,超復刻版　タローマンかるた,［バラエティ］,20221205,1071,,
9784046321862,恐怖コレクター　宿命の再会,２０,1076,16,0055,0001,0015,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,佐東みどり,0000004,ＫＡＤＯＫＡＷＡ,42675589,恐怖コレクター,角川つばさ文庫,20221214,3491,,
9784265081899,いつつごうさぎとゆきのもり,,1076,16,0007,0001,0097,書籍,児童書,絵本,国内絵本,３才〜国内絵本,まつおりかこ,0000265,岩崎書店,43377202,いつつごうさぎとゆきのもり,,20221207,9321,,
9784300104125,自分のあたまで考えるドリル　まず、これから。　小学１・２年生めやす　よみとき・なぞとき・ひらめき,,1076,19,0005,0001,0091,書籍,学習参考書,小学ドリル,小学ドリル,その他ドリル,ｉＭＬ国際算数・数学能力検定協会,0000300,ＴＡＣ出版事業部,43365197,自分のあたまで考えるドリル　まず、これから。　小学１・２年生めやす　よみとき・なぞとき・ひらめき,,20221027,1090,,
9784284001199,おまもりえほん　こどもぼうはんルールブック,,1076,16,0007,0001,0092,書籍,児童書,絵本,国内絵本,国内絵本,国崎信江,0000284,日本図書センター,43366741,おまもりえほん　こどもぼうはんルールブック,,20221019,2509,,
9784052056444,５分後に意外な結末ｅｘ　緑に覆われた世界の出来事,,1076,16,0041,0005,0022,書籍,児童書,読み物,読み物,５分後に意外な結末シリーズ,桃戸ハル,0000005,学研プラス,43363324,５分後に意外な結末ｅｘ　緑に覆われた世界の出来事,「５分後に意外な結末」シリーズ,20221215,3948,５分後に意外な結末,
