,JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM,cid
2481,9784575241693,映画クレヨンしんちゃん新婚旅行ハリケーン～失われたひろし～,,映画クレヨンしんちゃん新婚旅行ハリケーン～失われたひろし～,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,橋本昌和,双葉社ジュニア文庫,175
2482,9784065274453,カッコウの許嫁,４,カッコウの許嫁,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,有沢ゆう希,講談社青い鳥文庫,82
2483,9784035506300,ふしぎの国のアリス,,ふしぎの国のアリス,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ルイス・キャロル,偕成社文庫,440
2484,9784591088692,吾輩は猫である（下）,,吾輩は猫である,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,夏目漱石,ポプラポケット文庫,395
2485,9784591164587,魔天使マテリアル　破魔の聖女,２９,魔天使マテリアル,児童書,児童文庫,児童文庫,カラフル文庫,ポプラ社,藤咲あゆな,ポプラカラフル文庫,431
2486,9784001140996,たのしい川べ,,たのしい川べ,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ケネス・グレーアム,岩波少年文庫,311
2487,9784036527601,ハイジ＜完訳版＞,１,ハイジ＜完訳版＞,児童書,児童文庫,児童文庫,偕成社文庫,偕成社,ヨハンナ・シュピリ,偕成社文庫,450
2488,9784575240856,復讐教室,２,復讐教室,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,山崎烏,双葉社ジュニア文庫,374
2489,9784065281321,藤白くんのヘビーな恋　恋の勝負はこまります！,,藤白くんのヘビーな恋　恋の勝負はこまります！,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,神戸遥真,講談社青い鳥文庫,166
2490,9784001142488,しずくの首飾り,,しずくの首飾り,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ジョーン・エイキン,岩波少年文庫,128
2491,9784083212390,徳川１５人の将軍たち　伝記シリーズ,,徳川１５人の将軍たち　伝記シリーズ,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,小沢章友,集英社みらい文庫,264
2492,9784834018141,プラム・クリークの土手で　インガルス一家の物語３,,プラム・クリークの土手で,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ローラ・インガルス・ワイルダー,福音館文庫,244
2493,9784001145502,北欧神話,,北欧神話,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,Ｐ．コラム,岩波少年文庫,329
2494,9784591111444,ナイチンゲール　子どもの伝記１１,,ナイチンゲール　子どもの伝記１１,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,早野美智代,ポプラポケット文庫,93
2495,9784046312921,新訳・ドリトル先生の月旅行,,新訳・ドリトル先生の月旅行,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,ヒュー・ジョン・ロフティング,角川つばさ文庫,504
2496,9784061487253,天井うらのふしぎな友だち,,天井うらのふしぎな友だち,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,柏葉幸子,講談社青い鳥文庫,104
2497,9784001142426,ハックルベリー・フィンの冒険（上）,,ハックルベリー・フィンの冒険,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,マーク・トウェイン,岩波少年文庫,78
2498,9784065165225,すみっこ★読書クラブ　事件ダイアリー　友だち０人からの交換日記！？,１,すみっこ★読書クラブ　事件ダイアリー,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,にかいどう青,講談社青い鳥文庫,542
2499,9784834021424,鏡の国のアリス,,鏡の国のアリス,児童書,児童文庫,児童文庫,福音館文庫,福音館書店,ルイス・キャロル,福音館文庫,7
2500,9784065131428,キミマイ　きみの舞　お師匠さんは同級生！,１,キミマイ　きみの舞,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,緒川さよ,講談社青い鳥文庫,198
2501,9784061484238,消える総生島　名探偵夢水清志郎事件ノート,,消える総生島　名探偵夢水清志郎事件ノート,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,はやみねかおる,講談社青い鳥文庫,411
2502,9784591157046,サッカーのスゴイ話　ワールドカップのスゴイ話,,サッカーのスゴイ話　ワールドカップのスゴイ話,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,本多辰成,ポプラポケット文庫,116
