JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM
9784092172951,花,,1076,16,0081,0001,0001,書籍,児童書,図鑑,図鑑,観察図鑑シリーズ,多田多恵子,0000009,小学館,43410634,花,小学館の図鑑ＮＥＯ　ＰＯＣＫＥＴ,20230329,1120,小学館の図鑑NEO POCKET,
9784065307458,ちいリベ　クリアファイルブック,,1076,16,0091,0001,0092,書籍,児童書,グッズ,グッズ,キャラクターグッズ,講談社,0000006,講談社,43379651,ちいリベ　クリアファイルブック,［バラエティ］,20230131,1374,,
9784065302576,超復刻版　タローマンかるた,,1076,16,0091,0001,0005,書籍,児童書,グッズ,グッズ,かるた,ＮＨＫ「ＴＡＲＯＭＡＮ」制作班,0000006,講談社,43370941,超復刻版　タローマンかるた,［バラエティ］,20221205,1235,,
9784065313084,プリキュアオールスターズプリキュアいっぱいミニずかん,,1076,16,0035,0001,0011,書籍,児童書,絵本塔,絵本塔,講談社,ｍｉｏ,0000006,講談社,43393640,プリキュアオールスターズプリキュアいっぱいミニずかん,講談社ＭＯＯＫ　おともだちムック,20230322,3344,,
9784049148978,キャラぱふぇブックス　ちいかわ　なぞなぞブック,,1076,16,0061,0001,0011,書籍,児童書,実用百科,実用百科,クイズ・なぞなぞ,ナガノ,0000004,ＫＡＤＯＫＡＷＡ,43404441,キャラぱふぇブックス　ちいかわ　なぞなぞブック,,20230419,1043,,
9784083217593,戦国姫　徳川家康と運命の姫君たち　於大の方、瀬名姫ほか,,1076,16,0055,0001,0018,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,藤咲あゆな,0000008,集英社,43382710,戦国姫　徳川家康と運命の姫君たち　於大の方、瀬名姫ほか,集英社みらい文庫,20221216,2363,戦国姫,
9784284001212,きみがいるからおもしろい　こんなこいるかな,,1076,16,0007,0001,0092,書籍,児童書,絵本,国内絵本,国内絵本,有賀忍,0000284,日本図書センター,43389691,きみがいるからおもしろい　こんなこいるかな,,20230221,3273,,
9784813780687,告白したのは、君だから。　かんちがいから始まるホントの恋,,1076,16,0055,0001,0091,書籍,児童書,児童文庫,児童文庫,その他児童文庫,神戸遥真,0008137,スターツ出版,43365497,告白したのは、君だから。　かんちがいから始まるホントの恋,野いちごジュニア文庫,20221020,1971,,
9784801933798,マインクラフト３つの試練,,1076,16,0041,0005,0015,書籍,児童書,読み物,読み物,中学年読み物,スイー・デイヴィース,0008019,竹書房,43366428,マインクラフト３つの試練,,20221216,3671,,
9784052057151,パウ・パトロールをさがせ！,,1076,16,0021,0001,0051,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,ｍｉｏ,0000005,学研プラス,43396547,パウ・パトロールをさがせ！,,20230323,1998,,
9784046060990,学習ドリル　マインクラフトで学ぶプログラミング　小学３・４年,,1076,19,0005,0001,0091,書籍,学習参考書,小学ドリル,小学ドリル,その他ドリル,類瀬健二,0000004,ＫＡＤＯＫＡＷＡ,43387490,学習ドリル　マインクラフトで学ぶプログラミング　小学３・４年,,20230208,1349,,
9784405073623,図解大事典　ドラゴン,,1076,16,0061,0001,0091,書籍,児童書,実用百科,実用百科,その他実用百科,龍・ドラゴン研究チームＴ＆Ｈ,0000405,新星出版社,43370151,図解大事典　ドラゴン,,20221215,2817,,
