JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
9784065175729,小説　午前０時、キスしに来てよ（下）,,小説　午前０時、キスしに来てよ,児童書,児童文庫,児童文庫,その他児童文庫,講談社,時海結以,講談社ＫＫ文庫
9784083215322,生き残りゲーム　ラストサバイバル　その手をはなすな！　サバイバルペア,,生き残りゲーム　ラストサバイバル　その手をはなすな！　サバイバルペア,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
9784046313430,四年霊組こわいもの係,,四年霊組こわいもの係,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,床丸迷人,角川つばさ文庫
9784813780342,この恋は、ぜったいヒミツ。,２,この恋は、ぜったいヒミツ。,児童書,児童文庫,児童文庫,その他児童文庫,スターツ出版,このはなさくら,野いちごジュニア文庫
9784046317773,いみちぇん！　探せ、思い出のカケラ,１１,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
9784046312310,怪盗レッド　偽レッド、あらわる☆の巻,６,怪盗レッド,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,秋木真,角川つばさ文庫
9784065206720,夜カフェ,７,夜カフェ,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,倉橋燿子,講談社青い鳥文庫
9784046318008,ぼくらの卒業いたずら大作戦（下）,,ぼくらの卒業いたずら大作戦,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫
9784046321510,スイッチ！　トラブルだらけ！　恋の花さく運動会！？,１０,スイッチ！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,深海ゆずは,角川つばさ文庫
9784083216374,電車で行こう！近鉄特急乗りまくり！しまかぜ＆ひのとりで豪華列車旅,,電車で行こう！近鉄特急乗りまくり！しまかぜ＆ひのとりで豪華列車旅,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,豊田巧,集英社みらい文庫
9784083216534,放課後、きみがピアノをひいていたから～未来～,,放課後、きみがピアノをひいていたから～未来～,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,柴野理奈子,集英社みらい文庫
9784863892354,ハリー・ポッターとアズカバンの囚人　３－２,,ハリー・ポッターとアズカバンの囚人　３－２,児童書,児童文庫,児童文庫,静山社ペガサス文庫,静山社,Ｊ・Ｋ・ローリング,静山社ペガサス文庫
9784591171103,真夜中のパン屋さん　午前０時のレシピ（上）,,真夜中のパン屋さん　午前０時のレシピ,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,大沼紀子,ポプラキミノベル
9784046320940,妖怪大戦争　ガーディアンズ,,妖怪大戦争　ガーディアンズ,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,山室有紀子,角川つばさ文庫
9784062852029,消えた自転車は知っている　探偵チームＫＺ事件ノート,,消えた自転車は知っている　探偵チームＫＺ事件ノート,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,住滝良,講談社青い鳥文庫
9784046318701,いみちぇん！　パートナー再決定戦、開幕！？,１４,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
9784065247075,きみと１００年分の恋をしよう　大人になりたい,,きみと１００年分の恋をしよう　大人になりたい,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,折原みと,講談社青い鳥文庫
9784065173657,タヌキとキツネ　偉人の名言,,タヌキとキツネ　偉人の名言,児童書,児童文庫,児童文庫,その他児童文庫,講談社,有沢ゆう希,講談社ＫＫ文庫
9784083214714,生き残りゲーム　ラストサバイバル　宝をさがせ！サバイバルトレジャー,,生き残りゲーム　ラストサバイバル　宝をさがせ！サバイバルトレジャー,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,大久保開,集英社みらい文庫
9784065216217,小説　ゆずのどうぶつカルテ　こちら　わんニャンどうぶつ病院,７,小説　ゆずのどうぶつカルテ　こちら　わんニャンどうぶつ病院,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,辻みゆき,講談社青い鳥文庫
9784046316080,いみちぇん！　新たなる敵、あらわる！,７,いみちぇん！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
9784083216909,絶対好きにならない同盟　カワイイ系男子とおためしの恋,,絶対好きにならない同盟　カワイイ系男子とおためしの恋,児童書,児童文庫,児童文庫,集英社みらい文庫,集英社,夜野せせり,集英社みらい文庫
9784046318275,母さんがどんなに僕を嫌いでも,,母さんがどんなに僕を嫌いでも,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,歌川たいじ,角川つばさ文庫
9784046319937,君のとなりで。　伝えたい想い,３,君のとなりで。,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,高杉六花,角川つばさ文庫
9784065210734,６年１組　黒魔女さんが通る！！　黒魔女さんと秘密のサバト,１２,６年１組　黒魔女さんが通る！！,児童書,児童文庫,児童文庫,青い鳥文庫,講談社,石崎洋司,講談社青い鳥文庫
9784046321077,ぼくらの（悪）校長戦争,,ぼくらの（悪）校長戦争,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,宗田理,角川つばさ文庫
9784046320780,サバイバー！！　いじわるエースと初ミッション！,１,サバイバー！！,児童書,児童文庫,児童文庫,角川つばさ文庫,ＫＡＤＯＫＡＷＡ,あさばみゆき,角川つばさ文庫
9784065119150,ディズニー　みんなが知らない眠れる森の美女　カラスの子ども　マレフィセント,,ディズニー　みんなが知らない眠れる森の美女　カラスの子ども　マレフィセント,児童書,児童文庫,児童文庫,その他児童文庫,講談社,セレナ・ヴァレンティーノ,講談社ＫＫ文庫
