,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
728,9784061995994,194,ディズニープリンセス　いちばんすてきな日　塔の上のラプンツェル～忘れられない日～　シンデレラ～ネズミの失敗～,～　プリンセスと魔法のキス～,,ディズニープリンセス　いちばんすてきな日　塔の上のラプンツェル～忘れられない日～　シンデレラ～ネズミの失敗～,児童書,児童文庫,児童文庫,その他児童文庫,講談社,ヘレン・ペレルマン,講談社ＫＫ文庫
701,9784061995932,194,ディズニープリンセス　まごころのメッセージ　美女と野獣～なぞのメッセージ～　プリンセスと魔法のキス～レストランへようこそ～,～　プリンセスと魔法のキス～,,ディズニープリンセス　まごころのメッセージ　美女と野獣～なぞのメッセージ～　プリンセスと魔法のキス～レストランへようこそ～,児童書,児童文庫,児童文庫,その他児童文庫,講談社,キティ・リチャーズ,講談社ＫＫ文庫
698,9784061995987,194,ディズニープリンセス　友情につつまれて　美女と野獣～すてきなプレゼント～　プリンセスと魔法のキス～ぬすまれた真珠～,～　プリンセスと魔法のキス～,,ディズニープリンセス　友情につつまれて　美女と野獣～すてきなプレゼント～　プリンセスと魔法のキス～ぬすまれた真珠～,児童書,児童文庫,児童文庫,その他児童文庫,講談社,エリー・オライアン,講談社ＫＫ文庫
744,9784061995871,194,ディズニープリンセス　なぞ解きへようこそ,～　プリンセスと魔法のキス～,,ディズニープリンセス　なぞ解きへようこそ,児童書,児童文庫,児童文庫,その他児童文庫,講談社,エリー・オライアン,講談社ＫＫ文庫
405,9784061995802,195,犬－ワンコ－とともだち,ンコ－とともだち,,犬－ワンコ－とともだち,児童書,児童文庫,児童文庫,その他児童文庫,講談社,わん友委員会,講談社ＫＫ文庫
578,9784061995826,195,猫－ニャンコ－とともだち　ニャンコが好きなキミへ,ンコ－とともだち,,猫－ニャンコ－とともだち　ニャンコが好きなキミへ,児童書,児童文庫,児童文庫,その他児童文庫,講談社,にゃん友委員会,講談社ＫＫ文庫
431,9784061995949,196,物語　Ｇｏ！プリンセスプリキュア　花とレフィの冒険,プリンセス,,物語　Ｇｏ！プリンセスプリキュア　花とレフィの冒険,児童書,児童文庫,児童文庫,その他児童文庫,講談社,秋之桜子,講談社ＫＫ文庫
787,9784812492345,196,小公女－プリンセス－セーラ,プリンセス,,小公女－プリンセス－セーラ,児童書,児童文庫,児童文庫,その他児童文庫,竹書房,三田ゆいこ,世界名作劇場ジュニアノベルシリーズ
765,9784323090726,197,キズだらけの逃亡者－モンスター－　魔界屋リリー,　魔界屋リリー,,キズだらけの逃亡者　魔界屋リリー１２,児童書,児童文庫,児童文庫,フォア文庫,金の星社,高山栄子,フォア文庫
790,9784323090818,197,月界の天使－エンジェル－パワー　魔界屋リリー,　魔界屋リリー,,月界の天使－エンジェル－パワー　魔界屋リリー,児童書,児童文庫,児童文庫,フォア文庫,金の星社,高山栄子,フォア文庫
735,9784265064946,198,アンティークＦＵＧＡ　永遠なる者たち,アンティークＦＵＧＡ　,６,アンティークＦＵＧＡ,児童書,児童文庫,児童文庫,フォア文庫,岩崎書店,あんびるやすこ,フォア文庫
793,9784265064663,198,アンティークＦＵＧＡ　我が名はシャナイア,アンティークＦＵＧＡ　,１,アンティークＦＵＧＡ,児童書,児童文庫,児童文庫,フォア文庫,岩崎書店,あんびるやすこ,フォア文庫
640,9784265064694,198,アンティークＦＵＧＡ　双魂の精霊,アンティークＦＵＧＡ　,２,アンティークＦＵＧＡ,児童書,児童文庫,児童文庫,フォア文庫,岩崎書店,あんびるやすこ,フォア文庫
806,9784265064915,198,アンティークＦＵＧＡ　宝探しは眠りの森で,アンティークＦＵＧＡ　,４,アンティークＦＵＧＡ,児童書,児童文庫,児童文庫,フォア文庫,岩崎書店,あんびるやすこ,フォア文庫
746,9784265064939,198,アンティークＦＵＧＡ　バビロニアの紅き瞳,アンティークＦＵＧＡ　,５,アンティークＦＵＧＡ,児童書,児童文庫,児童文庫,フォア文庫,岩崎書店,あんびるやすこ,フォア文庫
738,9784265064892,198,アンティークＦＵＧＡ　キマイラの王,アンティークＦＵＧＡ　,３,アンティークＦＵＧＡ,児童書,児童文庫,児童文庫,フォア文庫,岩崎書店,あんびるやすこ,フォア文庫
128,9784065128992,199,アベンジャーズ　インフィニティ・ウォー,アベンジャーズ　,,アベンジャーズ　インフィニティ・ウォー,児童書,児童文庫,児童文庫,その他児童文庫,講談社,ジム・マッキャン,ディズニーストーリーブック
102,9784065173794,199,アベンジャーズ　エンドゲーム,アベンジャーズ　,,アベンジャーズ　エンドゲーム,児童書,児童文庫,児童文庫,その他児童文庫,講談社,スティーブ・ベーリング,ディズニーストーリーブック
131,9784062179294,199,アベンジャーズ,アベンジャーズ　,,アベンジャーズ,児童書,児童文庫,児童文庫,その他児童文庫,講談社,アリソン・ローウェンスタイン,ディズニーストーリーブックシリーズ
630,9784575240047,200,ルパン三世　地獄志願編,ルパン三世　,２,ルパン三世　地獄志願編,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,松田朱夏,双葉社ジュニア文庫
585,9784575239768,200,ルパン三世　五右ェ門登場編,ルパン三世　,,ルパン三世　五右ェ門登場編,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,松田朱夏,双葉社ジュニア文庫
197,9784591172445,201,ホームズ　世界の名探偵２,　世界の名探偵,,ホームズ　世界の名探偵２,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,コナン・ドイル,ポプラキミノベル　名作
219,9784591170199,201,デュパン　世界の名探偵１,　世界の名探偵,,デュパン　世界の名探偵１,児童書,児童文庫,児童文庫,その他児童文庫,ポプラ社,エドガー・アラン・ポー,ポプラキミノベル　名作
308,9784575239522,202,王様ゲーム　臨場,王様ゲーム　再生９．２４,,王様ゲーム　臨場,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
310,9784575241105,202,王様ゲーム　再生９．２４,王様ゲーム　再生９．２４,１,王様ゲーム　再生９．２４,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
301,9784575239324,202,王様ゲーム　終極,王様ゲーム　再生９．２４,,王様ゲーム　終極,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
326,9784575240252,202,王様ゲーム　起源８．０８,王様ゲーム　再生９．２４,,王様ゲーム　起源８．０８,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
315,9784575240702,202,王様ゲーム　再生９．１９,王様ゲーム　再生９．２４,１,王様ゲーム　再生９．１９,児童書,児童文庫,児童文庫,その他児童文庫,双葉社,金沢伸明,双葉社ジュニア文庫
