,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
411,9784001141825,296,海へ出るつもりじゃなかった（上）,海へ出るつもりじゃなかった（,,海へ出るつもりじゃなかった,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,アーサー・ランサム,岩波少年文庫
385,9784001141832,296,海へ出るつもりじゃなかった（下）,海へ出るつもりじゃなかった（,,海へ出るつもりじゃなかった,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,アーサー・ランサム,岩波少年文庫
566,9784001141160,297,ジェーンはまんなかさん,んな,,ジェーンはまんなかさん,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,エレナ－・エステ,岩波少年文庫
735,9784591091197,297,まじょ子どんな子ふしぎな子,んな,,まじょ子どんな子ふしぎな子,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,藤真知子,ポプラポケット文庫
285,9784001145168,298,大草原の小さな町,の小さな,,大草原の小さな町,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ローラ・インガルス・ワイルダー,岩波少年文庫
725,9784591091760,298,バレリーナの小さな恋,の小さな,,バレリーナの小さな恋,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,ヒル,ポプラポケット文庫
331,9784591088463,299,あしながおじさん,さん,,あしながおじさん,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,ジーン・ウェブスター,ポプラポケット文庫
487,9784591089309,299,春のお客さん,さん,,春のお客さん,児童書,児童文庫,児童文庫,ポプラポケット文庫,ポプラ社,あまんきみこ,ポプラポケット文庫
27,9784001140088,299,クマのプーさん,さん,,クマのプーさん,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,アラン・アレグザ,岩波少年文庫
722,9784001141092,300,カーディとお姫さまの物語,お姫さま,,カーディとお姫さまの物語,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ジョージ・マクドナルド,岩波少年文庫
765,9784001141085,300,お姫さまとゴブリンの物語,お姫さま,,お姫さまとゴブリンの物語,児童書,児童文庫,児童文庫,岩波少年文庫,岩波書店,ジョージ・マクドナルド,岩波少年文庫
