,JAN,cid,SHOSINM,SERIESNM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
291,9784092308206,95,怪盗ジョーカー　追憶のダイヤモンド・メモリー,怪盗ジョーカー　,,怪盗ジョーカー　追憶のダイヤモンド・メモリー,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,福島直浩,小学館ジュニア文庫
294,9784092308701,95,怪盗ジョーカー　銀のマントが燃える夜,怪盗ジョーカー　,,怪盗ジョーカー,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,福島直浩,小学館ジュニア文庫
113,9784092311657,96,謎解きはディナーのあとで,謎解きはディナーのあとで,,謎解きはディナーのあとで,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,東川篤哉,小学館ジュニア文庫
134,9784092313088,96,謎解きはディナーのあとで,謎解きはディナーのあとで,３,謎解きはディナーのあとで,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,東川篤哉,小学館ジュニア文庫
154,9784092312319,96,謎解きはディナーのあとで,謎解きはディナーのあとで,２,謎解きはディナーのあとで,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,東川篤哉,小学館ジュニア文庫
380,9784092895829,97,恋するディズニープリンセス～夢をかなえる力～,ディズニーツムツムの大冒険～,,恋するディズニープリンセス～夢をかなえる力～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,ディズニー,ちゃおノベルズ
216,9784092312180,97,ディズニーツムツムの大冒険～ハラハラ！ジェットコースター～,ディズニーツムツムの大冒険～,,ディズニーツムツムの大冒険～ハラハラ！ジェットコースター～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,橋口いくよ,小学館ジュニア文庫
275,9784092311749,97,ディズニーツムツムの大冒険～トキメキ　パティシエ・パーティ～,ディズニーツムツムの大冒険～,,ディズニーツムツムの大冒険～トキメキ　パティシエ・パーティ～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,橋口いくよ,小学館ジュニア文庫
183,9784092313545,97,ディズニーヴィランズのこわい話　アースラ　悪夢の契約書,ディズニーツムツムの大冒険～,,ディズニーヴィランズのこわい話　アースラ　悪夢の契約書,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,ヴェラ・ストレンジ,小学館ジュニア文庫
400,9784092895836,97,ディズニー　くまのプーさん～プーさんとあそぼう～,ディズニーツムツムの大冒険～,,ディズニー　くまのプーさん～プーさんとあそぼう～,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,ウォルト・ディズニー・ジャパン,ちゃおノベルズ
229,9784092312791,98,ギルティゲーム　Ｌａｓｔ　ｓｔａｇｅ　さよなら、ギルティゲーム,ギルティゲーム　,,ギルティゲーム　Ｌａｓｔ　ｓｔａｇｅ　さよなら、ギルティゲーム,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫
262,9784092312159,98,ギルティゲーム　ギロンパ帝国へようこそ,ギルティゲーム　,４,ギルティゲーム,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫
219,9784092311312,98,ギルティゲーム,ギルティゲーム　,,ギルティゲーム,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫
256,9784092311879,98,ギルティゲーム　ペルセポネー号の悲劇,ギルティゲーム　,３,ギルティゲーム,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫
247,9784092312517,98,ギルティゲーム　黄金のナイトメア,ギルティゲーム　,５,ギルティゲーム,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫
264,9784092311541,98,ギルティゲーム　無限駅からの脱出,ギルティゲーム　,２,ギルティゲーム,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,宮沢みゆき,小学館ジュニア文庫
271,9784092312371,99,怪盗グルーのミニオン危機一発,怪盗グルーのミニオン,,怪盗グルーのミニオン危機一発,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,澁谷正子,小学館ジュニア文庫
282,9784092312364,99,怪盗グルーの月泥棒,怪盗グルーのミニオン,,怪盗グルーの月泥棒,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,澁谷正子,小学館ジュニア文庫
173,9784092311763,99,怪盗グルーのミニオン大脱走,怪盗グルーのミニオン,,怪盗グルーのミニオン大脱走,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,澁谷正子,小学館ジュニア文庫
95,9784092313538,100,ソウルフル・ワールド,,,ソウルフル・ワールド,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,テニー・ネルソン,小学館ジュニア文庫
455,9784092308503,101,ホルンペッター,,,ホルンペッター,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,雨都雪,小学館ジュニア文庫
26,9784092312975,102,ミュウツーの逆襲　ＥＶＯＬＵＴＩＯＮ,,,ミュウツーの逆襲　ＥＶＯＬＵＴＩＯＮ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニア文庫
