,JAN,SHOSINM,KANSU,ITMCD,DAIGENRECD,CHUGENRECD,SHOGENRECD,SIKIRIBANCD,ITMNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,CHOSHANM,SHPNSHACD,SHPNSHANM,SAKUHINCD,SAKUHINNM,SOSHONM,HATUBAIYMD,ANNUAL_SALES,SUBLABEL,SERIESNM,SERIESNM_shoshi,SERIESNM_sikiriban,SERIESNM_sosho,SERIESNM_sublabel,seriesnm_candidate_shoshi,seriesnm_candidate_sikiriban,seriesnm_candidate_sosho
130,9784046321732,本当はこわい話　明かされる真実、君は気づけた？,１０,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,小林丸々,4,ＫＡＤＯＫＡＷＡ,42960710,本当はこわい話,角川つばさ文庫,20230112,1206,,,本当はこわい話,,,,本当はこわい話,角川まんが学習シリーズ,角川まんが学習シリーズ
131,9784046321923,世界一クラブ　スター・ダイヤを取りもどせ！,,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,大空なつき,4,ＫＡＤＯＫＡＷＡ,43377084,世界一クラブ　スター・ダイヤを取りもどせ！,角川つばさ文庫,20221214,2973,,,世界一クラブ,,,,世界一クラブ,角川まんが学習シリーズ,角川まんが学習シリーズ
132,9784083217548,花とつぼみと、きみのこと。　だいじな想いの咲かせかた,,1076,16,55,1,18,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,五十嵐美怜,8,集英社,43382705,花とつぼみと、きみのこと。　だいじな想いの咲かせかた,集英社みらい文庫,20221216,1346,,,花とつぼみと、きみのこと。,,,,花とつぼみと、きみのこと。,通学シリーズ みらい文庫版,通学シリーズ みらい文庫版
133,9784591175262,グレッグのダメ日記　なんだって、やってやる！,,1076,16,41,5,17,書籍,児童書,読み物,読み物,グレッグのダメ日記シリーズ,ジェフ・キニー,591,ポプラ社,43377481,グレッグのダメ日記　なんだって、やってやる！,,20221124,2872,単行本,,グレッグのダメ日記,グレッグのダメ日記,,,グレッグのダメ日記,グレッグのダメ日記,
134,9784651202686,歴史バトル図鑑　最強！戦国武将決定戦,,1076,16,71,1,47,書籍,児童書,学習百科,学習百科,歴史（読みもの）,小和田哲男,651,ＯＮＥ　ＰＵＢＬＩＳＨＩＮＧ,43372104,歴史バトル図鑑　最強！戦国武将決定戦,,20221117,1652,,,,,,,,,
135,9784813780779,溺愛×ミッション！（１）　エリート学園の超モテスパイ男子たちに溺愛されちゃってます！,１,1076,16,55,1,91,書籍,児童書,児童文庫,児童文庫,その他児童文庫,青山そらら,8137,スターツ出版,43379193,溺愛×ミッション！（１）　エリート学園の超モテスパイ男子たちに溺愛されちゃってます！,野いちごジュニア文庫,20221220,1381,,,,,,,溺愛１２０％の恋,,
136,9784813780687,告白したのは、君だから。　かんちがいから始まるホントの恋,,1076,16,55,1,91,書籍,児童書,児童文庫,児童文庫,その他児童文庫,神戸遥真,8137,スターツ出版,43365497,告白したのは、君だから。　かんちがいから始まるホントの恋,野いちごジュニア文庫,20221020,1603,,,,,,,今日、キミに告白します,,
137,9784756253842,きみも運転手になれる！　パノラマずかん　運転席,,1076,16,15,1,21,書籍,児童書,しかけ絵本,しかけ絵本,しかけ絵本,宮本えつよし,7562,パイインターナショナル,43365386,きみも運転手になれる！　パノラマずかん　運転席,,20221124,1077,,,,,,,うごかす！めくる！,手指をつかうしかけがいっぱい！,
138,9784813780700,ウタイテ！,３,1076,16,55,1,91,書籍,児童書,児童文庫,児童文庫,その他児童文庫,＊あいら＊,8137,スターツ出版,43313006,ウタイテ！,野いちごジュニア文庫,20221118,6086,ウタイテ！,,ウタイテ！,,,ウタイテ！,ウタイテ！,,
139,9784083217463,相方なんかになりません！　転校生はなにわのお笑い男子！？,,1076,16,55,1,18,書籍,児童書,児童文庫,児童文庫,集英社みらい文庫,遠山彼方,8,集英社,43366737,相方なんかになりません！　転校生はなにわのお笑い男子！？,集英社みらい文庫,20221028,1264,,,,,,,ウソカレ！？,通学シリーズ みらい文庫版,通学シリーズ みらい文庫版
140,9784041130254,どっちが強い！？　動物ｖｓ恐竜　夢の超時空バトル,,1076,16,71,5,31,書籍,児童書,学習百科,学習漫画,どっちが強い！？シリーズ,Ｘベンチャーオールスターズ,4,ＫＡＤＯＫＡＷＡ,43387253,どっちが強い！？　動物ｖｓ恐竜　夢の超時空バトル,角川まんが学習シリーズ,20230215,2805,,,,どっちが強い！？シリーズ,角川まんが学習シリーズ,,どっちが強い！？シリーズ,どっちが強い！？シリーズ,角川まんが学習シリーズ
141,9784052055935,ふたごのプリンセスとピアニストのひみつクレープ,,1076,16,41,5,5,書籍,児童書,読み物,読み物,低学年読み物,赤尾でこ,5,学研プラス,43369057,ふたごのプリンセスとピアニストのひみつクレープ,まほうのドレスハウス,20221129,2580,まほうのドレスハウス,,,,まほうのドレスハウス,まほうのドレスハウス,プリンセスシールブック,１０歳までに読みたい世界名作,まほうのドレスハウス
142,9784023322219,科学探偵ｖｓ．超・自然現象（前）,,1076,16,41,5,21,書籍,児童書,読み物,読み物,高学年読み物,佐東みどり,2,朝日新聞出版,43376612,科学探偵ｖｓ．超・自然現象,科学探偵謎野真実シリーズ,20221118,2201,科学探偵　謎野真実シリーズ,,,,科学探偵謎野真実シリーズ,,科学探偵謎野真実シリーズ,,科学探偵謎野真実シリーズ
143,9784074535231,ＢＴ２１　まちがいをさがせ！,,1076,16,7,4,1,書籍,児童書,絵本,さがしもの絵本,さがしもの絵本,ＬＩＮＥＦｒｉｅｎｄｓＪａｐａｎ,7,主婦の友社,43384708,ＢＴ２１　まちがいをさがせ！,,20221212,1625,,,,,,,,子どもりょうり絵本,
144,9784097353508,めくってあそぼう！しかけえほん　シナぷしゅ,,1076,16,21,1,51,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,ｍｉｏ,9,小学館,43379300,めくってあそぼう！しかけえほん　シナぷしゅ,,20221121,1471,,,シナぷしゅ,,,,めくってあそぼう！しかけえほん,ピーターラビット,
145,9784522803493,最恐！　危険生物かるた　超危険な生物のなまえで　ひらがなとカタカナをおぼえよう！,,1076,16,91,1,5,書籍,児童書,グッズ,グッズ,かるた,岩崎政志,522,永岡書店,43373845,最恐！　危険生物かるた　超危険な生物のなまえで　ひらがなとカタカナをおぼえよう！,,20221110,1066,,,,,,,マンガでわかる,マンガでわかる,
146,9784065307458,ちいリベ　クリアファイルブック,,1076,16,91,1,92,書籍,児童書,グッズ,グッズ,キャラクターグッズ,講談社,6,講談社,43379651,ちいリベ　クリアファイルブック,［バラエティ］,20230131,1066,,,,,,,講談社おともだちシールブック,キャラクタードリルシリーズ,ティガ・ダイナ＆ウルトラマンガイア
147,9784265809660,妖怪捕物帖乙　冥界彷徨篇　無間地獄は阿鼻の闇４,,1076,16,41,5,5,書籍,児童書,読み物,読み物,低学年読み物,大崎悌造,265,岩崎書店,43363706,妖怪捕物帖乙　冥界彷徨篇　無間地獄は阿鼻の闇４,ようかいとりものちょう,20221018,2767,ようかいとりものちょう,,妖怪捕物帖乙,,ようかいとりものちょう,ようかいとりものちょう,妖怪捕物帖乙,,ようかいとりものちょう
148,9784471104078,うちゅう,,1076,16,81,1,11,書籍,児童書,図鑑,図鑑,学習図鑑シリーズ,山岡均,471,高橋書店,43370519,うちゅう,はじめてのずかん,20221129,1984,,,,,はじめてのずかん,,,つくってあそべる本シリーズ,はじめてのずかん
149,9784046321787,絶体絶命ゲーム　ねらわれた歌姫を守れ！,１２,1076,16,55,1,15,書籍,児童書,児童文庫,児童文庫,角川つばさ文庫,藤ダリオ,4,ＫＡＤＯＫＡＷＡ,42843882,絶体絶命ゲーム,角川つばさ文庫,20221109,6033,,,絶体絶命ゲーム,,,,絶体絶命ゲーム,角川まんが学習シリーズ,角川まんが学習シリーズ
150,9784049145472,星のカービィ　プププナゾトレブック,,1076,16,21,1,51,書籍,児童書,キャラクター絵本,キャラクター絵本,その他キャラクター,ワープスター,4,ＫＡＤＯＫＡＷＡ,43375600,星のカービィ　プププナゾトレブック,,20221214,1136,,,星のカービィ,,,,星のカービィ,恐怖コレクター,
151,9784052056154,マンガ・クイズつき『桃太郎電鉄』で学ぶお金・経済のしくみ攻略,,1076,16,71,1,5,書籍,児童書,学習百科,学習百科,社会,正頭英和,5,学研プラス,43375602,マンガ・クイズつき『桃太郎電鉄』で学ぶお金・経済のしくみ攻略,,20221215,2305,,,,,,,学研のクイズ図鑑,,
152,9784774622781,ポコポコクリスマスクッキー,,1076,16,7,1,92,書籍,児童書,絵本,国内絵本,国内絵本,さかいさちえ,7746,教育画劇,43372775,ポコポコクリスマスクッキー,,20221115,4602,ちいさなちいさなポコポコえほん,,,,,,,絵本・グリム童話,
153,9784591175149,おしりたんてい　ププッ　かいていいせきのぼうけん　アニメコミック,１３,1076,16,41,5,7,書籍,児童書,読み物,読み物,おしりたんていシリーズ,トロル,591,ポプラ社,43109435,おしりたんてい　アニメコミック,,20221013,4684,アニメコミックおしりたんてい,,おしりたんてい,おしりたんてい,,おしりたんてい,おしりたんていかいとう,おしりたんていかいとう,
154,9784763140210,ぺんたと小春のめんどいまちがいさがし　ＢＩＧ,,1076,16,61,1,15,書籍,児童書,実用百科,実用百科,迷路・パズル,ペンギン飛行機製作所,7631,サンマーク出版,43368795,ぺんたと小春のめんどいまちがいさがし　ＢＩＧ,,20221110,3548,,,,,,,,,
155,9784791631438,頂上決戦！異種最強生物　オールスター大決戦,,1076,16,61,1,91,書籍,児童書,実用百科,実用百科,その他実用百科,ＣｒｅａｔｕｒｅＳｔｏｒｙ,7916,西東社,43378398,頂上決戦！異種最強生物　オールスター大決戦,,20221220,2915,,,,,,,ミラクルガール相談室,,
156,9784791631926,ミラクルハピネス　誕生日＆うらない大全,,1076,16,61,1,21,書籍,児童書,実用百科,実用百科,心理ゲーム・占い,ルナ・アヴニール,7916,西東社,43370161,ミラクルハピネス　誕生日＆うらない大全,,20221015,1975,,,,,,,ミラクルハッピー☆希望のどうぶつ物語,,
157,9784834086805,どきどきキッチンサーカス,,1076,16,7,5,3,書籍,児童書,絵本,福音館書店,幼児絵本福音館書店,石津ちひろ,8340,福音館書店,43358279,どきどきキッチンサーカス,幼児絵本シリーズ,20221007,1042,幼児絵本シリーズ,,,,幼児絵本シリーズ,幼児絵本シリーズ,かがくのとも傑作集　どきどきしぜん,幼児絵本シリーズ,幼児絵本シリーズ
158,9784065292495,ウルトラヒーローｖｓ．ウルトラかいじゅう　だいけっとう！　マグネットＢＯＸ,,1076,16,21,1,41,書籍,児童書,キャラクター絵本,キャラクター絵本,ヒーロー,講談社,6,講談社,43357379,ウルトラヒーローｖｓ．ウルトラかいじゅう　だいけっとう！　マグネットＢＯＸ,［バラエティ］,20221208,1078,,,,,,,ティガ・ダイナ＆ウルトラマンガイア,ハローキティ,ティガ・ダイナ＆ウルトラマンガイア
159,9784065299081,ＴＶアニメブルーロッククリアファイルブック,,1076,16,91,1,92,書籍,児童書,グッズ,グッズ,キャラクターグッズ,講談社,6,講談社,43379649,ＴＶアニメブルーロッククリアファイルブック,［バラエティ］,20221220,4100,,,,,,,講談社おともだちシールブック,キャラクタードリルシリーズ,ティガ・ダイナ＆ウルトラマンガイア
160,9784813780748,総長さま、溺愛中につき。　最強イケメンの溺愛バトルは再加速！？,７,1076,16,55,1,91,書籍,児童書,児童文庫,児童文庫,その他児童文庫,＊あいら＊,8137,スターツ出版,43205111,総長さま、溺愛中につき。,野いちごジュニア文庫,20221220,9519,,,総長さま、溺愛中につき。,,,,総長さま、溺愛中につき。,,
161,9784405073623,図解大事典　ドラゴン,,1076,16,61,1,91,書籍,児童書,実用百科,実用百科,その他実用百科,龍・ドラゴン研究チームＴ＆Ｈ,405,新星出版社,43370151,図解大事典　ドラゴン,,20221215,1535,,,,,,,都市伝説大事典,,
