,SHOSINM
201,小説映画ドラえもんのび太と空の理想郷
202,ピクサーの　なかまと　いっしょに　おふろで　あいうえお　アルファベットひょうつき
203,人体のふしぎ
204,ポコポコクリスマスクッキー
205,ララ姫はときどき☆こねこ　ときめきドレスと、おしゃれ魔女！？
206,ポケモンずかんドリル　小学３年生　漢字
207,鬼滅の刃　キメツ学園！　全集中ドリル　水の呼吸編
208,僕らの未来が変わるお金と生き方の教室　君が君らしく生きるために伝えておきたいこと
209,しんかんせん　だいしゅうごう　５０ピース
210,泣き虫スマッシュ！　がけっぷちのバドミントンペア、はじまる！？
211,きみの鐘が鳴る
212,じごく小学校
213,とにかくかわいいいきもの図鑑
214,４〜６歳　たしざん
215,１日５分でじがかけるほん　ひらがな　２〜６歳　改訂版
216,ひろがるスカイ！プリキュア　おけいこドリル
217,重要古文単語３１５　読んで見て聞いて覚える　四訂版
218,小説　映画　なのに、千輝くんが甘すぎる。
219,願いごとガチャ　願いをかなえるアイテム当たります
220,トミカ　タブレットがた　おしゃべりえほん
221,絶体絶命ゲーム　ねらわれた歌姫を守れ！
222,すしん
223,ゲーム超図かん　はじめてのマインクラフト　サバイバル図かん
224,ＴＶアニメブルーロッククリアファイルブック
225,鬼滅の刃　ノベライズ　〜カナヲと無一郎！　命をかけた闘い編〜
226,あつまれ！　きょうりゅう　３５ピース
227,学校の怪異談　真堂レイはだませない
228,やさしい高校数学（数学２・Ｂ）　はじめての人もイチからわかる　改訂版
229,マンガでよくわかる　ねこねこ日本史＜ジュニア版＞
230,歴史ゴーストバスターズ　歴女失格！？　お泊まり会で大波乱の夏休み！
231,あやし、おそろし、天獄園
232,ぱくぱく　ごくごく　いただきま〜す！
233,ゆるゆる珍獣図鑑
234,サンタさんのぼうし　どこいった？
235,英単語ターゲット１９００　Ｄａｒｋ　２０２３
236,中学受験は算数で受かる
237,どっちが強い！？　動物ｖｓ恐竜　夢の超時空バトル
238,徳川家康へタイムワープ　？！歴史漫画タイムワープシリーズ
239,トンネルのサバイバル
240,おめんで　ばぁ！
241,テーマパークのサバイバル
242,きらきら　ぴかぴか
243,実験対決　火山の対決　学校勝ちぬき戦　実験対決シリーズ　明日は実験王
244,すうじのかくれんぼ
245,こわ〜い空想科学読本　人体発火のナゾを追え
246,どっちが強い！？Ａ　ロボットで入学試験！？
247,どっちが強い！？ガチンコ動物オリンピック編　なんでもＮｏ．１決定戦
248,どっちが強い！？　ピットブルｖｓオオヤマネコ　豪華客船でイヌネコ対決
249,どっちが強い！？Ａ　無人島でロボバトル！
250,すみっコぐらしいっしょにクロスワード
251,正解のない問題集　道徳編
252,こどもずかん　のりもの７７７　英語つき　しゃしんバージョン
253,めくってばあ！
254,最強王キャラ図鑑
255,０さい〜３さい脳そだて　おさかなちゃんとあ〜そ〜ぼ！
256,でんしゃのひらがなれんしゅうちょう　７さいまでに楽しくおぼえる　改訂新版
257,四つ子ぐらし　プレゼントに思いをこめて
258,徳川家康　天下泰平をもたらした将軍
259,きょうりゅう
260,トミカライトペンでしらべろ！トミカのひみつだいずかん
261,マンガでわかる中学英語中１〜３
262,日本の歴史
263,仮面ライダーギーツもじかずちえドリル
264,ウルトラ怪獣ベスト１００あそべるずかん
265,いきもののふしぎはっけん！３６６クイズ
266,高校入試出るナビ英語
267,ＤｉｓｎｅｙツイステッドワンダーランドＭＩＸＥＤシールコレクション＆ミニレター
268,あそべる　ずかん　アニア
269,あつまれ！　トミカ　いっぱいずかん
270,ウルトラ怪獣パワフル大図鑑１００　ウルトラＱ〜ウルトラマンパワード編
271,高校入試出るナビ理科
272,高校入試出るナビ社会
273,アナと雪の女王　アナ雪　きらきら　えほん文庫
274,エルメスのえほん　おさんぽステッチ
275,ジブリの食卓となりのトトロ
276,それいけ！アンパンマン　シールいっぱい！　たべものこれなあにブック
277,おかあさんといっしょファンターネ！ひみついっぱい！シールえほん
278,にじいろの　さかなと　おはなしさん
279,全ウルトラマン　パーフェクト大図鑑　増補改訂
280,ウルトラ怪獣パワフル大図鑑１００　ウルトラマンティガ〜ウルトラマンゼロ編
281,かっても　まけても　いいんだよ
282,はってはがせる！仮面ライダーギーツ超シールバトルロイヤル！
283,ウルトラ怪獣パワフル大図鑑１００　ウルトラマンギンガ〜ウルトラマンデッカー編
284,ウルトラライトペンでちょうさせよ！ウルトラヒーロー＆かいじゅうひみつバトルだいず
285,高校入試出るナビ５科　改訂版
286,キャンディねんどでつくる　つやぷるアクセサリー
287,全仮面ライダー　パーフェクト大図鑑　増補改訂
288,ちびまる子ちゃんの仕事の見つけかた
289,仮面ライダーギーツとあそぼう！
290,仮面ライダーギーツとあそぼう！　レジェンド
291,ピカチュウとあそぼ！　ピカチュウのだいぼうけん　ポケモンおはなし＆おあそびブック
292,乗りもの　新版　鉄道・自動車・飛行機・船
293,チャレンジミッケ！　ポケット版　サンタクロース
294,星のカービィ　ディスカバリー　ほおばれ！シールブック
295,ドラえもん探究ワールド　本の歴史と未来
296,マインクラフト　公式ドリル　さんすう　ステップ２　７ー８才におすすめ　マイクラで楽しく理数系センスを身につける！
297,ドラえもん探究ワールド　ねむりと夢のふしぎ
298,スタジオジブリのヒロインがいっぱい
299,アニメおさるのジョージ　ともだちだーれだ？
300,ワンワンの　パンやさん
301,トムとジェリーをさがせ！　めいさくシーンでおおはしゃぎ
302,ドラえもん科学ワールドｓｐｅｃｉａｌ　みんなのためのデジタル入門
303,ピタゴラじゃんけん装置ＱＲブック　ピタの巻
304,ぷしゅぷしゅの　こんにちは！
305,アニメおさるのジョージ　おやついっぱい
306,小学館版学習まんが日本の歴史（全２０巻セット）
307,てれびくん超ひゃっかシリーズ　ウルトラマンデッカー　デッカー＆ヒーローバトルずかん
308,マインクラフト　公式ドリル　さんすう　ステップ１　６ー７才におすすめ　マイクラで楽しく理数系センスを身につける！
309,日本の歴史　日本文化のあけぼの　旧石器〜縄文〜弥生〜古墳時代
310,ピタゴラじゃんけん装置ＱＲブック　ゴラの巻
311,みかんくんがね・・
312,のりものずかん
313,１０才からの勉強が得意になる方法
314,福岡大学（医学部医学科を除くー一般選抜前期日程）２０２３
315,東海大学（医学部医学科を除くー一般選抜）　２０２３
316,でんしゃずかん
317,専修大学（学部個別入試）　２０２３
318,ごはんもぐもぐいただきま〜す！　とびだすえほん
319,ディズニープリンセスのひみつ１００
320,あおい１ばんのきかんしゃ　トーマスどーこだ？
321,きかんしゃトーマス　キャラクターずかん
322,キクタン【中学英単語】高校入試レベル　聞いて覚えるコーパス英単語　改訂第２版
323,アンパンマンおままごとえほん　おべんとう
324,ノラネコぐんだん　うみのたび
325,クリスマスプレゼントなぁに？
326,ＰＵＩ　ＰＵＩ　モルカー　を　さがせ！
327,ブンブーン！バイキンメカ
328,ウルトラマン大図鑑ハイパー
329,トミカコレクション　２０２３
330,おすしがふくをかいにきた
331,いちごサンタ
332,なにかな？　まる　あかまるの　かたちえほん
333,しんかんせん
334,プラレールコレクション　２０２３
335,ゴーゴー！アンパンマンごう
336,めくってだあれ？
337,黒田長政　戦国人物伝　日本の歴史＜コミック版＞８３
338,徳川家康外伝　最強！三河武士団　戦国人物伝
339,アナと雪の女王まちがいさがし　エルサのプレゼント
340,れいぞうこのそこのそこ　りんごのまほう
341,おばけのやだもん　だいすき！ソフトクリーム
342,５さいからできる　おかね　はじめて編
343,４さいからできる　えいご
344,５さいからできる　プログラミング
345,４さいからできる　しぜんとかがく
346,モチベも点数もめきめきアップ！中学生のおうちノート術
347,ぱんだちゃん
348,Ｚ会小学生わくわくワーク１年生総復習編　２０２２・２０２３年度用　国語・算数・経験
349,愛知県公立高予想テスト　２０２３年度受験用
350,でんしゃが　きた！
351,Ｚ会小学生わくわくワーク５年生総復習編　２０２２・２０２３年度用　国語・算数・理科・社会・英語
352,１日１まい　３０日うんこドリル　ひらがな　小学１年生
353,うんこドリル　たしざん・ひきざんもんだいしゅう編小学１年生　日本一楽しい学習ドリル
354,兵庫県公立高予想テスト　２０２３年度受験用
355,うんこドリル　小学１ー６年生の全漢字
356,東進共通テスト実戦問題集英語［リーディング］〈２訂版〉
357,１日１まい　３０日うんこドリル　カタカナ　小学１年生
358,１日１まい　３０日うんこドリル　かん字　小学１年生
359,１日１まい　３０日うんこドリル　かけ算　小学２年生
360,大阪府公立高等学校一般予想テスト　２０２３年度受験用
